"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
26.5,0,-180,0.343195385939456
26.5,0,-179,0.27969504298486
26.5,0,-178,0.217576759428999
26.5,0,-177,0.157000812354326
26.5,0,-176,0.0981109985228758
26.5,0,-175,0.0410342519755187
26.5,0,-174,-0.0141194454838326
26.5,0,-173,-0.0672568681973102
26.5,0,-172,-0.118301082334726
26.5,0,-171,-0.16719074012674
26.5,0,-170,-0.213879167642784
26.5,0,-169,-0.258333287724605
26.5,0,-168,-0.300532424397135
26.5,0,-167,-0.340467037690626
26.5,0,-166,-0.378137438253131
26.5,0,-165,-0.413552529464885
26.5,0,-164,-0.446728621147691
26.5,0,-163,-0.477688353646819
26.5,0,-162,-0.506459764370441
26.5,0,-161,-0.533075521167452
26.5,0,-160,-0.557572338593612
26.5,0,-159,-0.57999058454428
26.5,0,-158,-0.60037407628722
26.5,0,-157,-0.618770056948543
26.5,0,-156,-0.635229336284939
26.5,0,-155,-0.649806573363641
26.5,0,-154,-0.662560673763145
26.5,0,-153,-0.673555270241111
26.5,0,-152,-0.68285925357206
26.5,0,-151,-0.69054731945904
26.5,0,-150,-0.696700498035358
26.5,0,-149,-0.701406634404679
26.5,0,-148,-0.704760791779266
26.5,0,-147,-0.706865552881145
26.5,0,-146,-0.707831200147819
26.5,0,-145,-0.707775760685874
26.5,0,-144,-0.706824907582103
26.5,0,-143,-0.705111714852599
26.5,0,-142,-0.702776268739111
26.5,0,-141,-0.699965143027685
26.5,0,-140,-0.696830750382845
26.5,0,-139,-0.693530585220353
26.5,0,-138,-0.690226376290867
26.5,0,-137,-0.687083168873392
26.5,0,-136,-0.684268357286073
26.5,0,-135,-0.681950688360814
26.5,0,-134,-0.680299255679806
26.5,0,-133,-0.679482502846364
26.5,0,-132,-0.679667251985449
26.5,0,-131,-0.681017771175974
26.5,0,-130,-0.683694891741213
26.5,0,-129,-0.68785518339213
26.5,0,-128,-0.693650192245097
26.5,0,-127,-0.701225743817392
